"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J23";"BarrelJack_Wuerth_6941xx301002";1;"Jack-DC";;;
2;"RN1";"R_Array_SIP9";1;"R_Network08";;;
3;"D8,D7,D6,D5,D4,D3,D2,D1";"LED_D3.0mm";8;"LED";;;
4;"U14";"TO-220-3_Vertical";1;"L7805";;;
5;"U13,U11,U8";"DIP-16_W7.62mm_Socket";3;"74LS165";;;
6;"U12";"DIP-18_W7.62mm_Socket";1;"74LS165";;;
7;"U10,U9";"DIP-16_W7.62mm_Socket";2;"CD4060BE";;;
8;"U7,U6";"CONV_BOB-12009";2;"BOB-12009";;;
9;"U5";"ESP32-DEVKITV1";1;"ESP32DEVKITV1";;;
10;"U4,U3";"DIP-20_W7.62mm_Socket";2;"74HC244";;;
11;"U2,U1";"DIP-16_W7.62mm_Socket";2;"74LS595";;;
12;"R8,R7,R6,R5,R4,R3,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"10k";;;
13;"J22";"PinHeader_1x03_P2.54mm_Vertical";1;"CNT2_in";;;
14;"J21";"PinHeader_1x03_P2.54mm_Vertical";1;"CNT1_in";;;
15;"J20";"PinHeader_1x03_P2.54mm_Vertical";1;"S8_in";;;
16;"J19,J14,J7";"PinSocket_1x04_P2.54mm_Vertical";3;"I2C";;;
17;"J18";"PinHeader_1x03_P2.54mm_Vertical";1;"S7_in";;;
18;"J17";"PinSocket_1x08_P2.54mm_Vertical";1;"EN VP VN 34 35 32 33 25";;;
19;"J16";"PinHeader_1x06_P2.54mm_Vertical";1;"VL53L0X_3";;;
20;"J15";"PinHeader_1x07_P2.54mm_Vertical";1;"L298";;;
21;"J13";"PinHeader_1x03_P2.54mm_Vertical";1;"S6_in";;;
22;"J12";"PinHeader_1x06_P2.54mm_Vertical";1;"VL53L0X_2";;;
23;"J11";"PinSocket_1x04_P2.54mm_Vertical";1;"i2C";;;
24;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"S5_in";;;
25;"J9";"PinHeader_1x03_P2.54mm_Vertical";1;"S4_in";;;
26;"J8";"PinHeader_1x06_P2.54mm_Vertical";1;"VL53L0X_1";;;
27;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"S3_in";;;
28;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"S2_in";;;
29;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"S1_in";;;
30;"J3";"PinSocket_1x08_P2.54mm_Vertical";1;"INP1-8";;;
31;"J2";"PinSocket_1x04_P2.54mm_Vertical";1;"OUT9-12";;;
32;"J1";"PinSocket_1x08_P2.54mm_Vertical";1;"OUT1-8";;;
33;"H4,H2,H1";"MountingHole_3.2mm_M3";3;"MountingHole_Pad";;;
34;"D9";"DIOB_GBJ2506";1;"GBJ2510";;;
35;"C13";"CP_Radial_Tantal_D5.5mm_P5.00mm";1;"100uF";;;
36;"C12,C11,C10,C9,C8,C7,C6,C5,C4,C3,C2,C1";"C_Disc_D3.8mm_W2.6mm_P2.50mm";12;"0.10uF";;;
